fotograma,tipo_objeto,confianza,id_track,x1,y1,x2,y2,flag_plate,conf_plate,mx1,my1,mx2,my2,texto_matricula
0,bus,0.936,1,1402,52,1918,476,0,0.000,0,0,0,0,
0,car,0.843,2,1321,312,1398,371,0,0.000,0,0,0,0,
0,car,0.491,3,1231,313,1279,343,0,0.000,0,0,0,0,
0,car,0.349,4,1281,318,1320,343,0,0.000,0,0,0,0,
0,car,0.297,5,1274,315,1312,343,0,0.000,0,0,0,0,
1,bus,0.933,1,1407,56,1912,471,0,0.000,0,0,0,0,
1,car,0.815,2,1320,312,1397,371,0,0.000,0,0,0,0,
1,car,0.478,3,1231,313,1278,342,0,0.000,0,0,0,0,
1,car,0.327,4,1281,318,1320,343,0,0.000,0,0,0,0,
1,car,0.286,5,1272,315,1310,343,0,0.000,0,0,0,0,
2,bus,0.936,1,1410,63,1903,467,0,0.000,0,0,0,0,
2,car,0.819,2,1319,312,1396,371,0,0.000,0,0,0,0,
2,car,0.444,3,1231,313,1277,342,0,0.000,0,0,0,0,
2,car,0.316,4,1281,318,1320,343,0,0.000,0,0,0,0,
2,car,0.273,5,1273,315,1310,342,0,0.000,0,0,0,0,
3,bus,0.900,1,1409,67,1898,466,0,0.000,0,0,0,0,
3,car,0.838,2,1317,312,1395,371,0,0.000,0,0,0,0,
3,car,0.485,3,1231,314,1277,342,0,0.000,0,0,0,0,
3,car,0.288,4,1281,317,1320,343,0,0.000,0,0,0,0,
3,car,0.276,5,1273,315,1311,343,0,0.000,0,0,0,0,
4,bus,0.930,1,1413,72,1895,464,0,0.000,0,0,0,0,
4,car,0.817,2,1316,312,1394,371,0,0.000,0,0,0,0,
4,car,0.452,3,1232,314,1279,343,0,0.000,0,0,0,0,
4,car,0.270,4,1281,317,1320,343,0,0.000,0,0,0,0,
5,bus,0.935,1,1417,76,1894,462,0,0.000,0,0,0,0,
5,car,0.807,2,1316,312,1392,370,0,0.000,0,0,0,0,
5,car,0.408,3,1232,313,1278,342,0,0.000,0,0,0,0,
6,bus,0.934,1,1417,79,1892,461,0,0.000,0,0,0,0,
6,car,0.796,2,1315,312,1391,370,0,0.000,0,0,0,0,
6,car,0.452,3,1231,314,1278,343,0,0.000,0,0,0,0,
7,bus,0.935,1,1418,84,1888,458,0,0.000,0,0,0,0,
7,car,0.787,2,1314,312,1389,369,0,0.000,0,0,0,0,
7,car,0.435,3,1229,314,1276,343,0,0.000,0,0,0,0,
8,bus,0.937,1,1418,88,1886,457,0,0.000,0,0,0,0,
8,car,0.782,2,1313,312,1387,368,0,0.000,0,0,0,0,
8,car,0.425,3,1229,315,1274,343,0,0.000,0,0,0,0,
9,bus,0.941,1,1417,92,1885,457,0,0.000,0,0,0,0,
9,car,0.806,2,1312,312,1385,368,0,0.000,0,0,0,0,
9,car,0.419,3,1228,315,1273,343,0,0.000,0,0,0,0,
10,bus,0.937,1,1416,96,1884,456,0,0.000,0,0,0,0,
10,car,0.802,2,1311,312,1384,367,0,0.000,0,0,0,0,
10,car,0.403,3,1227,315,1272,343,0,0.000,0,0,0,0,
11,bus,0.927,1,1415,97,1885,455,0,0.000,0,0,0,0,
11,car,0.782,2,1310,312,1383,368,0,0.000,0,0,0,0,
11,car,0.409,3,1226,315,1271,343,0,0.000,0,0,0,0,
12,bus,0.932,1,1414,101,1883,453,1,0.794,1734,394,1791,410,3320KCC
12,car,0.788,2,1309,312,1382,368,0,0.000,0,0,0,0,
12,car,0.322,3,1225,315,1267,342,0,0.000,0,0,0,0,
13,bus,0.928,1,1409,104,1875,451,1,0.781,1723,393,1777,407,IILTUIS
13,car,0.794,2,1308,312,1381,368,0,0.000,0,0,0,0,
13,car,0.278,3,1225,315,1265,341,0,0.000,0,0,0,0,
14,bus,0.919,1,1402,107,1867,451,1,0.832,1713,391,1767,405,U32343
14,car,0.778,2,1307,312,1380,368,0,0.000,0,0,0,0,
14,car,0.301,3,1224,315,1265,341,0,0.000,0,0,0,0,
15,bus,0.925,1,1394,111,1855,450,1,0.938,1704,391,1758,405,083236
15,car,0.775,2,1307,312,1377,367,0,0.000,0,0,0,0,
15,car,0.306,3,1224,315,1264,341,0,0.000,0,0,0,0,
16,bus,0.920,1,1391,114,1850,449,1,0.767,1693,390,1748,404,IIMUIH
16,car,0.782,2,1306,313,1376,367,0,0.000,0,0,0,0,
16,car,0.317,3,1225,315,1264,341,0,0.000,0,0,0,0,
17,bus,0.909,1,1388,117,1846,450,1,0.814,1684,389,1736,403,UGIIUIM
17,car,0.777,2,1306,313,1375,367,0,0.000,0,0,0,0,
17,car,0.271,3,1225,315,1263,341,0,0.000,0,0,0,0,
18,bus,0.915,1,1382,121,1833,448,1,0.914,1675,387,1726,401,IIMHMUH
18,car,0.770,2,1306,314,1374,367,0,0.000,0,0,0,0,
18,car,0.276,3,1225,316,1262,341,0,0.000,0,0,0,0,
19,bus,0.925,1,1379,126,1821,446,1,0.844,1666,387,1718,400,TIWHZTWIUTIUTIY
19,car,0.784,2,1305,314,1372,367,0,0.000,0,0,0,0,
19,car,0.311,3,1226,316,1262,341,0,0.000,0,0,0,0,
20,bus,0.919,1,1375,127,1813,444,1,0.831,1657,386,1709,400,TIWMMWT
20,car,0.753,2,1304,313,1372,368,0,0.000,0,0,0,0,
20,car,0.340,3,1226,317,1262,341,0,0.000,0,0,0,0,
21,bus,0.919,1,1375,132,1805,442,1,0.879,1651,385,1699,399,ILPMTUMS
21,car,0.730,2,1304,313,1371,368,0,0.000,0,0,0,0,
21,car,0.365,3,1226,317,1262,341,0,0.000,0,0,0,0,
22,bus,0.915,1,1376,135,1802,442,1,0.834,1642,384,1691,397,TIHILVTIU
22,car,0.741,2,1304,313,1370,368,0,0.000,0,0,0,0,
22,car,0.389,3,1225,317,1261,341,0,0.000,0,0,0,0,
23,bus,0.905,1,1377,140,1797,441,1,0.626,1634,383,1683,397,EPRUH
23,car,0.716,2,1305,313,1369,366,0,0.000,0,0,0,0,
23,car,0.407,3,1226,318,1260,341,0,0.000,0,0,0,0,
24,bus,0.888,1,1369,141,1786,441,1,0.305,1627,383,1676,394,78220
24,car,0.704,2,1304,312,1369,366,0,0.000,0,0,0,0,
24,car,0.464,3,1225,317,1261,342,0,0.000,0,0,0,0,
25,bus,0.905,1,1362,143,1776,441,1,0.854,1620,383,1665,395,IHNMKTTI8
25,car,0.707,2,1305,312,1368,366,0,0.000,0,0,0,0,
25,car,0.443,3,1224,318,1261,342,0,0.000,0,0,0,0,
26,bus,0.898,1,1359,145,1767,440,1,0.828,1613,382,1660,394,7IMMI
26,car,0.687,2,1304,311,1368,365,0,0.000,0,0,0,0,
26,car,0.450,3,1225,318,1261,342,0,0.000,0,0,0,0,
27,bus,0.899,1,1355,148,1754,437,1,0.799,1606,381,1652,393,62767
27,car,0.673,2,1304,310,1368,366,0,0.000,0,0,0,0,
27,car,0.432,3,1224,318,1261,342,0,0.000,0,0,0,0,
28,bus,0.903,1,1354,150,1745,436,1,0.819,1601,380,1646,393,ITTITUIWT
28,car,0.649,2,1303,309,1367,365,0,0.000,0,0,0,0,
28,car,0.428,3,1224,317,1261,342,0,0.000,0,0,0,0,
29,bus,0.895,1,1353,152,1741,437,1,0.913,1595,380,1640,390,MWTTFI
29,car,0.627,2,1303,308,1366,365,0,0.000,0,0,0,0,
29,car,0.401,3,1224,317,1261,342,0,0.000,0,0,0,0,
30,bus,0.903,1,1354,153,1734,433,1,0.936,1589,379,1634,391,VIICILH
30,car,0.620,2,1301,307,1364,364,0,0.000,0,0,0,0,
30,car,0.355,3,1225,317,1261,342,0,0.000,0,0,0,0,
31,bus,0.891,1,1357,155,1730,430,1,0.799,1583,378,1628,389,Q2GOC
31,car,0.638,2,1300,308,1361,363,0,0.000,0,0,0,0,
31,car,0.292,3,1226,318,1261,341,0,0.000,0,0,0,0,
32,bus,0.920,1,1355,158,1717,426,1,0.680,1578,377,1632,388,WIWWLWH
32,car,0.643,2,1300,308,1359,363,0,0.000,0,0,0,0,
32,car,0.260,3,1226,317,1261,341,0,0.000,0,0,0,0,
33,bus,0.926,1,1350,160,1709,426,1,0.909,1572,376,1614,387,YZLI
33,car,0.626,2,1300,308,1358,363,0,0.000,0,0,0,0,
33,car,0.282,3,1226,317,1261,341,0,0.000,0,0,0,0,
34,bus,0.921,1,1346,161,1704,429,1,0.868,1566,375,1607,387,3EP
34,car,0.617,2,1299,308,1357,363,0,0.000,0,0,0,0,
35,bus,0.912,1,1346,163,1700,429,1,0.878,1561,374,1602,386,2YIN
35,car,0.597,2,1300,309,1355,363,0,0.000,0,0,0,0,
